stratification	generation script filename	generation script	release filename	genome
LowComplexity	GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_diTR_11to50_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_diTR_11to50_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_diTR_51to200_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_diTR_51to200_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_diTR_gt200_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_diTR_gt200_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_homopolymer_4to6_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_homopolymer_4to6_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_homopolymer_7to11_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_homopolymer_7to11_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_homopolymer_gt11_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_homopolymer_gt11_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_homopolymer_gt20_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_homopolymer_gt20_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_imperfecthomopolgt10_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_imperfecthomopolgt10_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_imperfecthomopolgt20_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_imperfecthomopolgt20_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_quadTR_20to50_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_quadTR_20to50_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_quadTR_51to200_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_quadTR_51to200_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_quadTR_gt200_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_quadTR_gt200_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_triTR_15to50_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_triTR_15to50_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_triTR_51to200_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_triTR_51to200_slop5.bed.gz	
LowComplexity	GRCh38_SimpleRepeat_triTR_gt200_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_SimpleRepeat_triTR_gt200_slop5.bed.gz	
LowComplexity	GRCh38_notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz	
LowComplexity	GRCh38_notinAllTandemRepeatsandHomopolymers_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_notinAllTandemRepeatsandHomopolymers_slop5.bed.gz	
LowComplexity	GRCh38_satellites_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_satellites_slop5.bed.gz	
LowComplexity	GRCh38_notinsatellites_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_notinsatellites_slop5.bed.gz	
LowComplexity	GRCh38_allTandemRepeats.bed.gz	GRCh38_Union.ipynb -code also in LC.ipynb	GRCh38_allTandemRepeats.bed.gz	
LowComplexity	GRCh38_notinallTandemRepeats.bed.gz	GRCh38_Union.ipynb -code also in LC.ipynb	GRC38_notinallTandemRepeats.bed.gz	
FunctionalTechnicallyDifficult	GRCh38_remapped_BadPromoters_gb-2013-14-5-r51-s1.bed.gz	regions from reference paper	GRCh38_BadPromoters.bed.gz	
FunctionalTechnicallyDifficult	HG002_GRCh38_MRG_stratification_large_duplication_not_in_ref.bed	regions from CMRG v1.00 eval	GRCh38_CMRGv1.00_duplicationinKMT2C.bed.gz	
FunctionalTechnicallyDifficult	GRCh38_MRG_benchmark_gene_coordinates_falselyduplicated.bed.gz	regions from CMRG eval and parsed with MRG_falsely_duplicated.sh	GRCh38_CMRGv1.00_falselyduplicatedgenes.bed.gz	
Union	GRCh38_alldifficultregions.bed.gz	GRCh38_Union.ipynb	GRCh38_alldifficultregions.bed.gz	
Union	GRCh38_alllowmapandsegdupregions.bed.gz	merge_difficult_regions_GRCh38_2.01.sh	GRCh38_alllowmapandsegdupregions.bed.gz	
Union	GRCh38_notinalldifficultregions.bed.gz	GRCh38_Union.ipynb	GRCh38_notinalldifficultregions.bed.gz	
Union	GRCh38_notinalllowmapandsegdupregions.bed.gz	merge_difficult_regions_GRCh38_2.01.sh	GRCh38_notinalllowmapandsegdupregions.bed.gz	
XY	GRCh38_AllAutosomes.bed	GRCh38_XY.ipynb	GRCh38_AllAutosomes.bed.gz	
XY	GRCh38_chrX_PAR.bed	GRCh38_XY.ipynb	GRCh38_chrX_PAR.bed.gz	
XY	GRCh38_chrX_ampliconic.bed	GRCh38_XY.ipynb	GRCh38_chrX_ampliconic.bed.gz	
XY	GRCh38_chrX_XTR.bed	GRCh38_XY.ipynb	GRCh38_chrX_XTR.bed.gz	
XY	GRCh38_chrX_nonPAR.bed	GRCh38_XY.ipynb	GRCh38_chrX_nonPAR.bed.gz	
XY	GRCh38_chrY_PAR.bed	GRCh38_XY.ipynb	GRCh38_chrY_PAR.bed.gz	
XY	GRCh38_chrY_ampliconic.bed	GRCh38_XY.ipynb	GRCh38_chrY_ampliconic.bed.gz	
XY	GRCh38_chrY_XTR.bed	GRCh38_XY.ipynb	GRCh38_chrY_XTR.bed.gz	
XY	GRCh38_chrY_nonPAR.bed	GRCh38_XY.ipynb	GRCh38_chrY_nonPAR.bed.gz	
